pair_id,annotator_id,relevance,confidence,notes
pair_0001,annotator_1,,,
pair_0002,annotator_1,,,
pair_0003,annotator_1,,,
pair_0004,annotator_1,,,
pair_0005,annotator_1,,,
pair_0006,annotator_1,,,
pair_0007,annotator_1,,,
pair_0008,annotator_1,,,
pair_0009,annotator_1,,,
pair_0010,annotator_1,,,
pair_0011,annotator_1,,,
pair_0012,annotator_1,,,
pair_0013,annotator_1,,,
pair_0014,annotator_1,,,
pair_0015,annotator_1,,,
pair_0016,annotator_1,,,
pair_0017,annotator_1,,,
pair_0018,annotator_1,,,
pair_0019,annotator_1,,,
pair_0020,annotator_1,,,
pair_0021,annotator_1,,,
pair_0022,annotator_1,,,
pair_0023,annotator_1,,,
pair_0024,annotator_1,,,
pair_0025,annotator_1,,,
pair_0026,annotator_1,,,
pair_0027,annotator_1,,,
pair_0028,annotator_1,,,
pair_0029,annotator_1,,,
pair_0030,annotator_1,,,
pair_0031,annotator_1,,,
pair_0032,annotator_1,,,
pair_0033,annotator_1,,,
pair_0034,annotator_1,,,
pair_0035,annotator_1,,,
pair_0036,annotator_1,,,
pair_0037,annotator_1,,,
pair_0038,annotator_1,,,
pair_0039,annotator_1,,,
pair_0040,annotator_1,,,
pair_0041,annotator_1,,,
pair_0042,annotator_1,,,
pair_0043,annotator_1,,,
pair_0044,annotator_1,,,
pair_0045,annotator_1,,,
pair_0046,annotator_1,,,
pair_0047,annotator_1,,,
pair_0048,annotator_1,,,
pair_0049,annotator_1,,,
pair_0050,annotator_1,,,
pair_0051,annotator_1,,,
pair_0052,annotator_1,,,
pair_0053,annotator_1,,,
pair_0054,annotator_1,,,
pair_0055,annotator_1,,,
pair_0056,annotator_1,,,
pair_0057,annotator_1,,,
pair_0058,annotator_1,,,
pair_0059,annotator_1,,,
pair_0060,annotator_1,,,
