pair_id,query_id,candidate_id,query_path,candidate_path
pair_0001,gtzan_jazz_jazz_00003,gtzan_classical_classical_00065,data\raw\gtzan\jazz\jazz.00003.wav,data\raw\gtzan\classical\classical.00065.wav
pair_0002,gtzan_blues_blues_00008,gtzan_hiphop_hiphop_00001,data\raw\gtzan\blues\blues.00008.wav,data\raw\gtzan\hiphop\hiphop.00001.wav
pair_0003,gtzan_jazz_jazz_00003,gtzan_rock_rock_00099,data\raw\gtzan\jazz\jazz.00003.wav,data\raw\gtzan\rock\rock.00099.wav
pair_0004,gtzan_rock_rock_00032,gtzan_country_country_00008,data\raw\gtzan\rock\rock.00032.wav,data\raw\gtzan\country\country.00008.wav
pair_0005,gtzan_classical_classical_00044,gtzan_classical_classical_00086,data\raw\gtzan\classical\classical.00044.wav,data\raw\gtzan\classical\classical.00086.wav
pair_0006,gtzan_jazz_jazz_00003,gtzan_country_country_00077,data\raw\gtzan\jazz\jazz.00003.wav,data\raw\gtzan\country\country.00077.wav
pair_0007,gtzan_metal_metal_00070,gtzan_hiphop_hiphop_00055,data\raw\gtzan\metal\metal.00070.wav,data\raw\gtzan\hiphop\hiphop.00055.wav
pair_0008,gtzan_reggae_reggae_00018,gtzan_reggae_reggae_00025,data\raw\gtzan\reggae\reggae.00018.wav,data\raw\gtzan\reggae\reggae.00025.wav
pair_0009,gtzan_pop_pop_00071,gtzan_blues_blues_00014,data\raw\gtzan\pop\pop.00071.wav,data\raw\gtzan\blues\blues.00014.wav
pair_0010,gtzan_blues_blues_00008,gtzan_country_country_00088,data\raw\gtzan\blues\blues.00008.wav,data\raw\gtzan\country\country.00088.wav
pair_0011,gtzan_hiphop_hiphop_00037,gtzan_pop_pop_00086,data\raw\gtzan\hiphop\hiphop.00037.wav,data\raw\gtzan\pop\pop.00086.wav
pair_0012,gtzan_pop_pop_00071,gtzan_reggae_reggae_00038,data\raw\gtzan\pop\pop.00071.wav,data\raw\gtzan\reggae\reggae.00038.wav
