pair_id,query_id,candidate_id,query_genre,method,rank
pair_0002,gtzan_blues_blues_00008,gtzan_hiphop_hiphop_00001,blues,random,1
pair_0037,gtzan_blues_blues_00008,gtzan_metal_metal_00052,blues,random,2
pair_0042,gtzan_blues_blues_00008,gtzan_jazz_jazz_00004,blues,random,3
pair_0058,gtzan_classical_classical_00044,gtzan_blues_blues_00019,classical,random,1
pair_0046,gtzan_classical_classical_00044,gtzan_reggae_reggae_00039,classical,random,2
pair_0044,gtzan_classical_classical_00044,gtzan_country_country_00076,classical,random,3
pair_0030,gtzan_country_country_00060,gtzan_country_country_00024,country,random,1
pair_0040,gtzan_country_country_00060,gtzan_rock_rock_00062,country,random,2
pair_0025,gtzan_country_country_00060,gtzan_reggae_reggae_00046,country,random,3
pair_0031,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00020,disco,random,1
pair_0019,gtzan_disco_disco_00027,gtzan_country_country_00062,disco,random,2
pair_0052,gtzan_disco_disco_00027,gtzan_country_country_00072,disco,random,3
pair_0024,gtzan_hiphop_hiphop_00037,gtzan_rock_rock_00054,hiphop,random,1
pair_0047,gtzan_hiphop_hiphop_00037,gtzan_classical_classical_00046,hiphop,random,2
pair_0035,gtzan_hiphop_hiphop_00037,gtzan_disco_disco_00088,hiphop,random,3
pair_0051,gtzan_jazz_jazz_00003,gtzan_pop_pop_00076,jazz,random,1
pair_0006,gtzan_jazz_jazz_00003,gtzan_country_country_00077,jazz,random,2
pair_0003,gtzan_jazz_jazz_00003,gtzan_rock_rock_00099,jazz,random,3
pair_0055,gtzan_metal_metal_00070,gtzan_hiphop_hiphop_00021,metal,random,1
pair_0041,gtzan_metal_metal_00070,gtzan_blues_blues_00004,metal,random,2
pair_0007,gtzan_metal_metal_00070,gtzan_hiphop_hiphop_00055,metal,random,3
pair_0023,gtzan_pop_pop_00071,gtzan_rock_rock_00049,pop,random,1
pair_0012,gtzan_pop_pop_00071,gtzan_reggae_reggae_00038,pop,random,2
pair_0009,gtzan_pop_pop_00071,gtzan_blues_blues_00014,pop,random,3
pair_0054,gtzan_reggae_reggae_00018,gtzan_hiphop_hiphop_00068,reggae,random,1
pair_0053,gtzan_reggae_reggae_00018,gtzan_hiphop_hiphop_00084,reggae,random,2
pair_0008,gtzan_reggae_reggae_00018,gtzan_reggae_reggae_00025,reggae,random,3
pair_0022,gtzan_rock_rock_00032,gtzan_jazz_jazz_00091,rock,random,1
pair_0039,gtzan_rock_rock_00032,gtzan_metal_metal_00099,rock,random,2
pair_0017,gtzan_rock_rock_00032,gtzan_rock_rock_00042,rock,random,3
pair_0016,gtzan_blues_blues_00008,gtzan_rock_rock_00072,blues,standardized_cosine,1
pair_0013,gtzan_blues_blues_00008,gtzan_country_country_00058,blues,standardized_cosine,2
pair_0010,gtzan_blues_blues_00008,gtzan_country_country_00088,blues,standardized_cosine,3
pair_0038,gtzan_classical_classical_00044,gtzan_classical_classical_00088,classical,standardized_cosine,1
pair_0059,gtzan_classical_classical_00044,gtzan_classical_classical_00012,classical,standardized_cosine,2
pair_0005,gtzan_classical_classical_00044,gtzan_classical_classical_00086,classical,standardized_cosine,3
pair_0026,gtzan_country_country_00060,gtzan_country_country_00063,country,standardized_cosine,1
pair_0032,gtzan_country_country_00060,gtzan_blues_blues_00001,country,standardized_cosine,2
pair_0057,gtzan_country_country_00060,gtzan_country_country_00056,country,standardized_cosine,3
pair_0043,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00054,disco,standardized_cosine,1
pair_0050,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00052,disco,standardized_cosine,2
pair_0028,gtzan_disco_disco_00027,gtzan_hiphop_hiphop_00053,disco,standardized_cosine,3
pair_0029,gtzan_hiphop_hiphop_00037,gtzan_pop_pop_00064,hiphop,standardized_cosine,1
pair_0011,gtzan_hiphop_hiphop_00037,gtzan_pop_pop_00086,hiphop,standardized_cosine,2
pair_0045,gtzan_hiphop_hiphop_00037,gtzan_reggae_reggae_00088,hiphop,standardized_cosine,3
pair_0056,gtzan_jazz_jazz_00003,gtzan_jazz_jazz_00009,jazz,standardized_cosine,1
pair_0049,gtzan_jazz_jazz_00003,gtzan_classical_classical_00031,jazz,standardized_cosine,2
pair_0001,gtzan_jazz_jazz_00003,gtzan_classical_classical_00065,jazz,standardized_cosine,3
pair_0048,gtzan_metal_metal_00070,gtzan_jazz_jazz_00021,metal,standardized_cosine,1
pair_0033,gtzan_metal_metal_00070,gtzan_metal_metal_00019,metal,standardized_cosine,2
pair_0015,gtzan_metal_metal_00070,gtzan_rock_rock_00082,metal,standardized_cosine,3
pair_0034,gtzan_pop_pop_00071,gtzan_pop_pop_00067,pop,standardized_cosine,1
pair_0036,gtzan_pop_pop_00071,gtzan_pop_pop_00077,pop,standardized_cosine,2
pair_0027,gtzan_pop_pop_00071,gtzan_pop_pop_00023,pop,standardized_cosine,3
pair_0018,gtzan_reggae_reggae_00018,gtzan_reggae_reggae_00029,reggae,standardized_cosine,1
pair_0020,gtzan_reggae_reggae_00018,gtzan_blues_blues_00056,reggae,standardized_cosine,2
pair_0014,gtzan_reggae_reggae_00018,gtzan_reggae_reggae_00024,reggae,standardized_cosine,3
pair_0021,gtzan_rock_rock_00032,gtzan_pop_pop_00069,rock,standardized_cosine,1
pair_0060,gtzan_rock_rock_00032,gtzan_hiphop_hiphop_00046,rock,standardized_cosine,2
pair_0004,gtzan_rock_rock_00032,gtzan_country_country_00008,rock,standardized_cosine,3
